epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,158.255,0.51257,0.61309,0.34969,0.79034,0.9848,0.98701,0.99453,0.90478,0.9848,0.98701,0.99437,0.75331,0.43432,0.64365,0.31315,0.79897,0.0014258,0.0014258,0.0014258
31,163.112,0.51822,0.6301,0.34846,0.79953,0.99561,0.98231,0.99466,0.90933,0.99122,0.97798,0.99445,0.75608,0.4451,0.67063,0.30541,0.80117,0.001406,0.001406,0.001406
32,167.822,0.49882,0.59332,0.33553,0.79308,0.98982,0.98701,0.99367,0.90692,0.98982,0.98701,0.99367,0.75865,0.43816,0.62311,0.30808,0.80012,0.0013862,0.0013862,0.0013862
33,172.78,0.50957,0.6223,0.33868,0.79849,0.98808,0.98701,0.9947,0.89654,0.98375,0.98268,0.99371,0.74349,0.44642,0.63223,0.30703,0.79847,0.0013664,0.0013664,0.0013664
34,177.672,0.53264,0.63849,0.34769,0.80387,1,0.98213,0.99479,0.89282,0.99559,0.97787,0.99426,0.73012,0.48115,0.703,0.31931,0.80162,0.0013466,0.0013466,0.0013466
35,182.656,0.54348,0.64877,0.35071,0.79943,0.98983,0.98701,0.99474,0.90389,0.98549,0.98268,0.99427,0.75069,0.45652,0.62698,0.31448,0.80074,0.0013268,0.0013268,0.0013268
36,187.521,0.50202,0.6138,0.33997,0.79531,0.99056,0.98701,0.99466,0.90979,0.99056,0.98701,0.99466,0.75379,0.44127,0.68764,0.3056,0.79678,0.001307,0.001307,0.001307
37,192.325,0.50584,0.63228,0.34026,0.79724,0.98581,0.98701,0.99457,0.9165,0.98581,0.98701,0.99457,0.75567,0.42971,0.62907,0.30612,0.79647,0.0012872,0.0012872,0.0012872
38,197.138,0.50327,0.6088,0.33692,0.79547,0.98706,0.99072,0.99456,0.909,0.98706,0.99072,0.99456,0.77413,0.44634,0.64051,0.30616,0.79761,0.0012674,0.0012674,0.0012674
39,201.923,0.52036,0.6253,0.33467,0.79578,0.98561,0.99134,0.99306,0.9098,0.9813,0.98701,0.99186,0.74616,0.43414,0.65279,0.30338,0.7987,0.0012476,0.0012476,0.0012476
