epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,84.5261,0.45678,0.54939,0.30537,0.78786,0.9924,0.98268,0.99478,0.93268,0.9924,0.98268,0.99478,0.7546,0.38517,0.57089,0.279,0.79072,0.00161527,0.00161527,0.00161527
31,87.0092,0.45921,0.55568,0.29378,0.79573,0.99496,0.98268,0.99483,0.92372,0.99496,0.98268,0.99483,0.74936,0.40222,0.71801,0.27756,0.79441,0.001602,0.001602,0.001602
32,89.4896,0.45518,0.55348,0.29514,0.79752,0.99355,0.98268,0.99474,0.91804,0.99355,0.98268,0.99474,0.7668,0.40565,0.61052,0.28278,0.79355,0.00158873,0.00158873,0.00158873
33,91.8466,0.44252,0.54815,0.29068,0.78745,0.97462,0.99726,0.99396,0.92285,0.97462,0.99726,0.99396,0.7675,0.40467,0.62935,0.2858,0.79214,0.00157547,0.00157547,0.00157547
34,94.2079,0.44728,0.53734,0.29351,0.78479,0.98289,0.99475,0.9947,0.92472,0.97861,0.99046,0.99371,0.75294,0.39674,0.59929,0.27912,0.79439,0.0015622,0.0015622,0.0015622
35,96.7949,0.4523,0.53622,0.29143,0.79257,0.99467,0.99134,0.99491,0.91971,0.99467,0.99134,0.99491,0.77888,0.41512,0.60881,0.2743,0.79534,0.00154893,0.00154893,0.00154893
36,99.4574,0.44305,0.55083,0.29065,0.78493,0.99566,0.9929,0.995,0.92513,0.99566,0.9929,0.995,0.76118,0.38116,0.63487,0.26636,0.78971,0.00153567,0.00153567,0.00153567
37,102.115,0.43398,0.52878,0.28953,0.79021,0.99899,0.98701,0.99491,0.92912,0.99899,0.98701,0.99491,0.76295,0.38123,0.59301,0.26806,0.79068,0.0015224,0.0015224,0.0015224
38,104.536,0.43409,0.52663,0.28488,0.78893,0.99039,0.99567,0.99496,0.92596,0.99039,0.99567,0.99496,0.76962,0.38794,0.61154,0.26482,0.79172,0.00150913,0.00150913,0.00150913
39,107.037,0.44977,0.53481,0.2932,0.79017,0.98611,0.99567,0.99491,0.93299,0.98183,0.99134,0.99426,0.75924,0.3838,0.60785,0.26445,0.79096,0.00149587,0.00149587,0.00149587
